word,base_word,phonetic,pos,meaning,level,collocation,etymology,example_en,example_zh
rally,rally,/'ræli/,v./n.,"n. 重振旗鼓, 集合, 群众集会, 跌停回升；v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑",C1,,,,
legislator,legislator,/'ledʒisleitә/,n.,"n. 立法者, 立法官, 立法委员",Beyond C1,,,,
cheer,cheer,/tʃiә/,vt./vi./n.,"n. 愉快, 振奋, 欢呼；vi. 欢呼, 喝彩, 快活起来；vt. 使振奋, 欢呼",B2,,,,
programming,program,/'prәugræmiŋ/,n.,"n. 节目的计划, 编制程序",B2,,,,
steer,steer,/stiә/,vt./vi./n.,"vt. 引导, 驾驶, 航行, 控制；vi. 驾驶, 掌舵, 行驶；n. 驾驶指示, 劝告",C1,,,,
outlet,outlet,/'autlet/,n.,"n. 出口, 发泄方法, 市场",C1,,,,
vendor,vendor,/'vendә/,n.,"n. 小贩, 卖主, 自动售货机",Beyond C1,,,,
intact,intact,/in'tækt/,,"a. 尚未被人碰过的, 原封不动的, 完整的",C1,,,,
peanut,peanut,/'pi:nʌt/,n.,"n. 花生, 小人物, 极小的数额；a. 渺小的, 微不足道的",Beyond C1,,,,
thrive,thrive,/θraiv/,vi.,"vi. 繁荣, 兴旺, 茁壮成长",C1,,,,
fucking,fucking,/'fʌkiŋ/,,"a. 该死的, 难完成的, 难做的, 低劣的, 讨厌的, 丑恶的, 混乱的, 乱糟糟的",Beyond C1,,,,
elaborate,elaborate,/i'læbәreit/,vt./vi.,"a. 精细的, 详尽的, 精心计划(或制作)的；vt. 详细地说明, 用心地制作, 发挥；vi. 变复杂, 作详细说明",C1,,,,
chew,chew,/tʃu:/,vt./vi./n.,"vt. 咀嚼, 嚼碎；vi. 咀嚼, 细想；n. 咀嚼, 咀嚼物",Beyond C1,,,,
auction,auction,/'ɒ:kʃәn/,vt./n.,n. 拍卖；vt. 拍卖,C1,,,,
steak,steak,/steik/,n.,"n. 牛排, 鱼排, 肉排",Beyond C1,,,,
shareholder,shareholder,/'ʃєә.hәuldә/,n.,n. 股东,C1,,,,
conception,conception,/kɒn'sepʃәn/,n.,"n. 观念, 概念",C1,,,,
comply,comply,/kәm'plai/,vi.,"vi. 顺从, 依从",C1,,,,
triumph,triumph,/'traiәmf/,vi./n.,"n. 凯旋, 胜利, 欢欣；vi. 得胜, 成功",C1,,,,
comparable,comparable,/'kɒmpәrәbl/,,"a. 可比较的, 比得上的",C1,,,,
transport,transport,/træns'pɒ:t/,vt./n.,"n. 运输, 运输工具, 激动, 狂喜, 流放犯；vt. 传送, 运输, 流放",B1,,,,
conscience,conscience,/'kɒnʃәns/,n.,n. 良心,C1,,,,
calculation,calculation,/.kælkju'leiʃәn/,n.,"n. 计算, 考虑, 计算的结果",C1,,,,
constraint,constraint,/kәn'streint/,n.,"n. 强制, 约束",C1,,,,
scratch,scratch,/skrætʃ/,vt./vi./n.,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线；vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉；vi. 搔, 抓, 发刮擦声, 勉强糊口；a. 碰巧的, 凑合的, 打草稿用的",B2,,,,
considerably,considerably,/kәn'sidәrәbli/,adv.,"adv. 非常地, 很, 颇",B2,,,,
interval,interval,/'intәvәl/,n.,"n. 间隔, 距离, 间歇, 间隙",B2,,,,
awake,awake,/ә'weik/,vt./vi.,"a. 醒着的；vt. 唤醒, 唤起, 使意识到；vi. 醒来, 被唤起, 意识到",Beyond C1,,,,
commerce,commerce,/'kɒmә:s/,n.,"n. 商业, 商务, 贸易",C1,,,,
feminist,feminist,/'feminist/,n.,n. 男女平等主义者,C1,,,,
inevitably,inevitably,/in'evitәbli/,adv.,adv. 不可避免地,B2,,,,
emotionally,emotionally,/i'mәuʃәnәli/,adv.,adv. 在情绪上,B2,,,,
jurisdiction,jurisdiction,/.dʒuәris'dikʃәn/,n.,"n. 司法权, 审判权, 管辖权",C1,,,,
expedition,expedition,/.ekspi'diʃәn/,n.,"n. 远征, 探险队, 迅速",B2,,,,
similarity,similarity,/.simi'læriti/,n.,"n. 类似, 类似处",B1,,,,
allegedly,allegedly,/ә'ledʒidli/,adv.,adv. 依其申述,C1,,,,
butt,butt,/bʌt/,n.,"n. 粗大的一头, 烟头, 靶, 笑柄",Beyond C1,,,,
lid,lid,/lid/,vt./n.,"n. 盖子, 限制, 眼睑；vt. 给...盖盖子",Beyond C1,,,,
dumb,dumb,/dʌm/,,"a. 哑的, 不说话的, 无声音的",C1,,,,
bulk,bulk,/bʌlk/,vt./n.,"n. 大小, 体积, 大块, 大多数；vt. 显得大, 显得重要",C1,,,,
philosophical,philosophical,/.filә'sɒfikl/,,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的",C1,,,,
mortality,mortality,/mɒ:'tælәti/,n.,"n. 必死的命运, 死亡数目, 死亡率",Beyond C1,,,,
sprinkle,sprinkle,/'spriŋkl/,vt./vi./n.,"vt. 洒, 散置, 撒, 点缀；vi. 洒, 撒, 下小雨；n. 洒, 撒, 散置, 小雨, 少量",Beyond C1,,,,
conversion,conversion,/kәn'vә:ʃәn/,n.,"n. 转变, 转换, 改变宗教信仰, 换位法",C1,,,,
patron,patron,/'peitrәn/,n.,"n. 赞助人, 顾客, 保护人",C1,,,,
municipal,municipal,/mju:'nisipl/,,"a. 市政的, 自治区的, 内政的",C1,,,,
liver,liver,/'livә/,n.,"n. 肝脏, 生活者, 居民",C1,,,,
harmony,harmony,/'hɑ:mәni/,n.,"n. 协调, 和睦, 调和",C1,,,,
tolerance,tolerance,/'tɒlәrәns/,n.,"n. 宽容, 忍受, 容忍, 容许量, 公差",C1,,,,
solely,solely,/'sәulli/,adv.,"adv. 仅仅, 单独地",C1,,,,
blessing,bless,/'blesiŋ/,n.,n. 祝福,C1,,,,
goat,goat,/gәut/,n.,"n. 山羊, 替罪羊, 色鬼",Beyond C1,,,,
banana,banana,/bә'nɑ:nә/,n.,n. 香蕉,A1,,,,
palace,palace,/'pælis/,n.,"n. 宫, 宫殿, 华丽大厦",A2,,,,
grandparent,grandparent,/'grændperәnt/,n.,n. 祖父母,A1,,,,
peasant,peasant,/'peznt/,n.,"n. 农夫, 乡下人",C1,,,,
cruise,cruise,/kru:z/,v./n.,"n. 巡航, 巡弋, 漫游；v. 巡航, 巡弋, 漫游",B2,,,,
supermarket,supermarket,/'sju:pәmɑ:kit/,n.,n. 超级市场,A1,,,,
neat,neat,/ni:t/,n.,"a. 整洁的, 巧妙的, 匀称的, 简洁的；n. 牛",B1,,,,
formerly,formerly,/'fɒ:mәli/,adv.,"adv. 从前, 以前",B2,,,,
lawmaker,lawmaker,/lɒ:'meikә/,n.,n. 立法者,C1,,,,
mobile,mobile,/'mәubil/,n.,"a. 移动的, 易变的, 机动的；n. 活动物体",C1,,,,
calendar,calendar,/'kælindә/,vt./n.,"n. 日历, 日程表；vt. 列入表中",Beyond C1,,,,
beard,beard,/biәd/,vt./n.,"n. 胡须；vt. 抓住胡须, 公开反对",Beyond C1,,,,
widow,widow,/'widәu/,vt./n.,"n. 寡妇, 孀妇；vt. 使成寡妇",C1,,,,
deposit,deposit,/di'pɒzit/,vt./vi./n.,"n. 存款, 定金, 堆积物；vt. 存放, 堆积；vi. 沉淀",B2,,,,
brake,brake,/breik/,v./n.,"n. 刹车, 阻碍, 丛林；v. 刹车",Beyond C1,,,,
screening,screen,/'skri:niŋ/,,"[医] 筛选, 筛分(如普查癌、结核等病), 萤光屏检查",B2,,,,
impulse,impulse,/'impʌls/,vt./n.,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲；vt. 推动",Beyond C1,,,,
brutal,brutal,/'bru:tәl/,,"a. 残忍的, 野蛮的, 不讲理的",C1,,,,
forbid,forbid,/fә'bid/,vt.,"vt. 禁止, 不准, 妨碍",B2,,,,
predator,predator,/'predәtә/,n.,"n. 食肉动物, 掠夺者",C1,,,,
fur,fur,/fә:/,vt./vi./n.,"n. 毛皮；vt. 以毛皮制作, 使生苔, 使生水垢；vi. 生苔, 积水垢",B1,,,,
voluntary,voluntary,/'vɒlәntәri/,n.,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的；n. 自愿行动, 志愿者, 自由调",B2,,,,
poke,poke,/pәuk/,vt./vi./n.,"n. 刺, 戳, 袋子；vt. 戳, 捅, 拨弄, 刺；vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢",Beyond C1,,,,
valid,valid,/'vælid/,,"a. 有确实根据的, 有法律效力的, 正当的, 正确的",B2,,,,
opt,opt,/ɒpt/,vi.,vi. 选择,C1,,,,
forum,forum,/'fɒ:rәm/,n.,"n. 论坛, 公开讨论的广场, 法庭, 讨论会",B2,,,,
soar,soar,/sɒ:/,vi./n.,"n. 高扬, 翱翔；vi. 往上飞舞, 高耸, 翱翔",C1,,,,
happily,happily,/'hæpili/,adv.,"adv. 幸福地, 快乐地, 幸好",A2,,,,
dancing,dance,/'dænsiŋ/,n.,n. 舞蹈,A1,,,,
enact,enact,/i'nækt/,vt.,"vt. 制定法律, 扮演, 颁布",C1,,,,
removal,removal,/ri'mu:vl/,n.,"n. 移动, 移居, 迁移, 排除, 切除",C1,,,,
autonomy,autonomy,/ɒ:'tɒnәmi/,n.,"n. 自治, 自治权",C1,,,,
thread,thread,/θred/,vt./vi./n.,"n. 线, 丝, 纤维, 线索；vt. 穿线于, 穿过, 通过, 用线穿成；vi. 穿过",C1,,,,
landmark,landmark,/'lændmɑ:k/,n.,"n. 陆标, 划时代的事, 地界标",C1,,,,
unhappy,unhappy,/.ʌn'hæpi/,,"a. 不快乐的, 不幸的, 不适当的",A2,,,,
privately,privately,,adv.,adv. 秘密地；私下地,Beyond C1,,,,
fraction,fraction,/'frækʃәn/,n.,"n. 小部分, 破片, 分数",B2,,,,
coming,come,/'kʌmiŋ/,n.,"n. 来临；a. 就要来的, 接着的",A1,,,,
tourism,tourism,/'tuәrizm/,n.,"n. 观光业, 游览",A2,,,,
offender,offender,/ә'fendә/,n.,"n. 罪犯, 无礼的人, 得罪人的人",B2,,,,
distinctive,distinctive,/di'stiŋktiv/,,"a. 有特色的, 出众的",C1,,,,
threshold,threshold,/'θreʃәuld/,n.,"n. 门槛, 入口, 开端, 阈",C1,,,,
suite,suite,/swi:t/,n.,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事",C1,,,,
routinely,routinely,,adv.,"adv. 日常, 乏味, 常规, 例行",Beyond C1,,,,
regulator,regulator,/'regjuleitә/,n.,"n. 调整者, 校准者, 校准器, 调整器, 标准钟",C1,,,,
straw,straw,/strɒ:/,n.,"n. 稻草, 麦管, 吸管, 一文不值的东西, 草帽；a. 稻草的, 稻草色的, 琐碎的, 无价值的",Beyond C1,,,,
theological,theological,/θiә'lɔdʒikәl/,,a. 神学上的,Beyond C1,,,,
fragile,fragile,/'frædʒail/,,"a. 易碎的, 脆的",C1,,,,
exhaust,exhaust,/ig'zɒ:st/,vt./vi./n.,"n. 排气, 排气装置, 废气；vt. 抽完, 用尽, 耗尽, 使精疲力尽；vi. 排气",Beyond C1,,,,
globe,globe,/glәub/,v./n.,"n. 球, 球状物, 地球仪, 天体；v. (使)成球状",B2,,,,
chemistry,chemistry,/'kemistri/,n.,"n. 化学, 化学过程",A2,,,,
objection,objection,/әb'dʒekʃәn/,n.,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由",C1,,,,
crowded,crowd,/'kraudid/,,"a. 拥挤的, 塞满的",A2,,,,
blast,blast,/blæst/,vt./vi./n.,"n. 一阵风, 爆炸, 枯萎病；vt. 炸, 使枯萎；vi. 炸, 猛攻, 猛烈抨击, 枯萎",C1,,,,
prevail,prevail,/pri'veil/,vi.,"vi. 获胜, 流行, 盛行",C1,,,,
overnight,overnight,/'әuvәnait/,n./adv.,"n. 前一天晚上, 一夜的逗留；a. 通宵的, 晚上的, 前夜的；adv. 在前一夜, 整夜, 昨晚一晚上",B2,,,,
denial,denial,/di'naiәl/,n.,n. 否认,C1,,,,
fragment,fragment,/'frægmәnt/,n.,"n. 碎片, 破片, 片段",B2,,,,
headache,headache,/'hedeik/,n.,"n. 头痛, 令人头痛之事",A2,,,,
rental,rental,/'rentl/,n.,"n. 租费, 租金收入；a. 租赁的, 收取租金的",B2,,,,
fantastic,fantastic,/fæn'tæstik/,,"a. 奇妙的, 稀奇的, 空想的",A1,,,,
warmth,warmth,/wɒ:mθ/,n.,"n. 温暖, 温情, 暖和, 激动, 生气",Beyond C1,,,,
screw,screw,/skru:/,vt./vi./n.,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼；vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索；vi. 转动, 旋, 拧",C1,,,,
undergraduate,undergraduate,/.ʌndә'grædjuit/,n.,"n. 大学本科生, 大学肄业生；a. 大学生的",C1,,,,
policeman,policeman,/pә'li:smәn/,n.,n. 警察,A1,,,,
projection,projection,/prә'dʒekʃәn/,n.,"n. 发射, 计划, 突出部分, 设计, 推测",C1,,,,
suitable,suitable,/'sju:tәbl/,,"a. 适当的, 相配的",B1,,,,
graduation,graduation,/.grædʒu'eiʃәn/,n.,"n. 毕业, 得学位, 分划, 刻度, 分等级",Beyond C1,,,,
drill,drill,/dril/,v./n.,"n. 钻孔机, 钻子, 播种机, 粗斜纹布；v. 训练, 钻孔",Beyond C1,,,,
mansion,mansion,/'mænʃәn/,n.,"n. 大厦, 宅邸",Beyond C1,,,,
cruel,cruel,/'kru:әl/,,"a. 残酷的, 令人极痛苦的",B1,,,,
sexuality,sexuality,/.sekʃu'æliti/,n.,"n. 性征, 性行为, 性欲",C1,,,,
grape,grape,/greip/,n.,"n. 葡萄, 葡萄树",Beyond C1,,,,
cottage,cottage,/'kɒtidʒ/,n.,"n. 小屋, 茅舍",Beyond C1,,,,
authorize,authorize,/'ɒ:θәraiz/,vt.,"vt. 授权, 批准, 委托",C1,,,,
canyon,canyon,/'kænjәn/,n.,"n. 峡谷, 海底悬崖",Beyond C1,,,,
charm,charm,/tʃɑ:m/,vt./vi./n.,"n. 吸引力, 魔力, 符咒；vt. 迷住, 使陶醉, 行魔法；vi. 用符咒, 有魅力",C1,,,,
driveway,driveway,/'draivwei/,n.,n. 车道,Beyond C1,,,,
loyal,loyal,/'lɒiәl/,,"a. 忠诚的, 忠实的, 忠贞的",B2,,,,
clay,clay,/klei/,n.,"n. 泥土, 肉体, 黏土",Beyond C1,,,,
invention,invention,/in'venʃәn/,n.,"n. 发明, 创作能力, 虚构的故事",A2,,,,
balloon,balloon,/bә'lu:n/,vt./vi./n.,"n. 气球；vt. 使成气球状；vi. 膨胀如气球, 激增",B2,,,,
ego,ego,/'egәu. 'i:gәu/,n.,n. 自我,C1,,,,
fare,fare,/fєә/,vi./n.,"n. 费用, 旅客, 食物；vi. 进展, 进步, 经营, 过活",B2,,,,
availability,availability,/ә.veilә'biliti/,n.,"n. 有效性, 可利用性, 可利用的人",C1,,,,
homework,homework,/'hәumwә:k/,n.,"n. 家庭作业, 家里做的工作",A1,,,,
disc,disc,/disk/,vt./n.,"n. 圆盘, 唱片；vt. 灌唱片",Beyond C1,,,,
radar,radar,/'reidә/,n.,"n. 雷达, 无线电探测器",C1,,,,
prince,prince,/prins/,n.,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物",B1,,,,
sofa,sofa,/'sәufә/,n.,n. 沙发,Beyond C1,,,,
regain,regain,/ri'gein/,vt.,"vt. 取回, 恢复, 重回, 复得",C1,,,,
frown,frown,/fraun/,vt./vi./n.,n. 皱眉；vi. 皱眉头；vt. 皱眉表示,Beyond C1,,,,
molecule,molecule,/'mɒlikju:l/,n.,"n. 分子, 些微",Beyond C1,,,,
retreat,retreat,/ri'tri:t/,vt./vi./n.,"n. 休息寓所, 撤退, 隐居, 退避；vi. 撤退, 隐退, 向后倾；vt. 退(棋)",C1,,,,
sweater,sweater,/'swetә/,n.,"n. 毛衣, 毛线衫, 运动衫, 出汗者",A1,,,,
favorable,favorable,/'feivәrәbl/,,"a. 有利的, 赞许的, 良好的",C1,,,,
rubber,rubber,/'rʌbә/,vt./n.,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘；vt. 用橡胶制造, 涂橡胶于",B2,,,,
freely,freely,/'fri:li/,adv.,"adv. 自由地, 随意地, 无拘束地, 直率地, 坦白地, 慷慨地, 免费地, 大量地",B2,,,,
rehabilitation,rehabilitation,"/'ri:(h)ә,bili'teiʃәn/",n.,n. 复原,C1,,,,
steadily,steadily,/'stedili/,adv.,"adv. 稳定地, 无变化地, 有规则地",B2,,,,
youngster,youngster,/'jʌŋstә/,n.,"n. 小孩, 年轻人, 少年",Beyond C1,,,,
ha,ha,/hɑ:/,,"interj. 嘿, 哈, 哈哈",Beyond C1,,,,
accountability,accountability,/ә.kauntә'biliti/,n.,"n. 负有责任, 可说明性",C1,,,,
integrated,integrate,/'intәgreitid/,,"a. 综合的, 完整的, 互相协调的",C1,,,,
premium,premium,/'pri:miәm/,n.,"n. 额外补贴, 奖金, 奖赏, 保险费",C1,,,,
contemplate,contemplate,/'kɒntempleit/,vt./vi.,"vt. 注视, 沉思, 盘算；vi. 冥思苦想",C1,,,,
update,update,/ʌp'deit/,vt./n.,"vt. 更新, 使现代化；n. 更新",B1,,,,
overwhelm,overwhelm,/.әuvә'hwelm/,vt.,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措",C1,,,,
spark,spark,/spɑ:k/,vt./vi./n.,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎；vi. 闪光, 发火花, 求婚；vt. 发动, 鼓舞, 使有朝气, 求婚",C1,,,,
fatigue,fatigue,/fә'ti:g/,vt./vi./n.,"n. 疲乏, 疲劳；vt. 使疲劳, 使心智衰弱；vi. 疲劳；a. 疲劳的",Beyond C1,,,,
ironically,ironically,,adv.,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地",C1,,,,
speculate,speculate,/'spekjuleit/,vi.,"vi. 深思, 推测, 投机",B2,,,,
marker,marker,/'mɑ:kә/,n.,"n. 作记号的人, 记分员, 书签, 纪念碑, 里程碑, 标识物, 标记",B2,,,,
bucket,bucket,/'bʌkit/,n.,n. 桶,Beyond C1,,,,
meantime,meantime,/'mi:ntaim/,n./adv.,"n. 间隔时间, 其时；adv. 其间",C1,,,,
preach,preach,/pri:tʃ/,v./n.,"v. 传道, 讲道, 说教, 宣讲, 鼓吹；n. 说教, 布道",C1,,,,
substantially,substantially,/sәb'stænʃәli/,adv.,"adv. 实质上, 本质上, 大体上",C1,,,,
blond,blond,/blɒnd/,n.,a. 金发的；n. 白肤碧眼金发的人,A1,,,,
confession,confession,/kәn'feʃәn/,n.,"n. 承认, 坦白, 招供",C1,,,,
marble,marble,/'mɑ:bl/,n.,"n. 大理石, 石弹, 雕刻品；a. 大理石的, 冷酷无情的, 有大理石花纹的",Beyond C1,,,,
defender,defender,/di'fendә/,n.,"n. 防卫者, 防护者, 辩护者",B2,,,,
provoke,provoke,/prә'vәuk/,vt.,"vt. 激怒, 惹起, 诱导",C1,,,,
trauma,trauma,/'trɒ:mә/,n.,"n. 外伤, 损伤",C1,,,,
surveillance,surveillance,/sә:'veilәns/,n.,"n. 监视, 监督",C1,,,,
explicit,explicit,/ik'splisit/,,"a. 详述的, 清楚的, 直言的",C1,,,,
disturbing,disturb,/dis'tә:biŋ/,,"a. 引起烦恼的, 令人不安的",C1,,,,
depart,depart,/di'pɑ:t/,vi.,"vi. 离开, 出发, 背离, 违反, 去世",B2,,,,
magnetic,magnetic,/mæg'netik/,,"a. 有磁性的, 有吸引力的, 催眠术的",C1,,,,
technician,technician,/tek'niʃәn/,n.,n. 技师,Beyond C1,,,,
arrow,arrow,/'ærәu/,n.,"n. 箭, 箭状物, 箭头记号",B2,,,,
neighboring,neighbore,/'neibәriŋ/,,"a. 附近的, 邻近的, 邻接的",C1,,,,
devastating,devastating,/'devәsteitiŋ/,,"a. 毁灭性的, (非正式)很好的, 引人注目的",C1,,,,
soak,soak,/sәuk/,vt./vi./n.,"n. 浸, 湿透, 大雨；vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉；vi. 浸泡, 渗透",C1,,,,
transmit,transmit,/træns'mit/,vt./vi.,"vt. 传输, 传染, 传达, 遗传, 发射, 传播；vi. 发射信号, 留传下来",B2,,,,
mutter,mutter,/'mʌtә/,vt./vi./n.,"n. 喃喃低语；vi. 喃喃自语, 作低沉声；vt. 出怨言, 抱怨地说",Beyond C1,,,,
ribbon,ribbon,/'ribәn/,vt./vi./n.,"n. 缎带, 色带, 带状物；vt. 用丝带装饰, 把...撕成条状；vi. 形成带状",Beyond C1,,,,
harvest,harvest,/'hɑ:vist/,v./n.,"n. 收获, 成果, 收获物, 收获期；v. 收割, 收获",C1,,,,
slot,slot,/slɒt/,vt./n.,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)；vt. 开槽于, 把...纳入机构",C1,,,,
consecutive,consecutive,/kәn'sekjutiv/,,"a. 连续的, 联贯的",C1,,,,
spy,spy,/spai/,vt./vi./n.,"n. 间谍, 侦探, 侦察；vt. 侦察, 找出, 发现；vi. 做密探, 侦查",C1,,,,
coordinate,coordinate,/kәu'ɒ:dineit/,v./n.,"n. 同等的人(或物), 坐标；a. 同等的, 并列的；v. (使)协调",C1,,,,
daddy,daddy,/'dædi/,n.,n. 爸爸,Beyond C1,,,,
riot,riot,/'raiәt/,vt./vi./n.,"n. 暴动, 喧闹, 放纵；vi. 发动, 暴动, 纵情, 放荡；vt. 浪费, 挥霍",C1,,,,
nutrient,nutrient,/'nju:triәnt/,n.,"a. 营养的, 滋养的；n. 营养物, 滋养物",Beyond C1,,,,
severely,severely,/si'viәli/,adv.,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素",B2,,,,
citizenship,citizenship,/'sitizәnʃip/,n.,"n. 国籍, 市民权, 市民的身份",C1,,,,
sovereignty,sovereignty,/'sɒvrәnti/,n.,"n. 主权, 独立国",C1,,,,
ridge,ridge,/ridʒ/,n.,"n. 脊, 山脊, 山脉",Beyond C1,,,,
brave,brave,/breiv/,vt./n.,"a. 勇敢的, 美好的, 华丽的；n. 勇敢者；vt. 勇敢地面对",B1,,,,
lighting,light,/'laitiŋ/,n.,"n. 照明, 照明设备, 舞台灯光",B2,,,,
frustrate,frustrate,/'frʌstreit/,vt.,"vt. 挫败, 击败, 破坏；a. 无益的, 挫败的, 挫折的",Beyond C1,,,,
contributor,contributor,/kәn'tribjutә/,n.,"n. 贡献者, 捐助者, 赠送者, 投稿者",C1,,,,
importantly,importantly,,adv.,adv. 重要地；大量地；有名望地；自命不凡地,Beyond C1,,,,
transit,transit,/'trænsit/,vt./vi./n.,"n. 经过, 通行, 运输, 运输线, 转变；vt. 运送, 使通过, 经过；vi. 通过",C1,,,,
specify,specify,/'spesifai/,vt.,"vt. 详列, 指定, 说明",B2,,,,
unidentified,unidentified,/.ʌnai'dentifaid/,,"a. 未被认出的, 未经确认的",Beyond C1,,,,
seminar,seminar,/'seminɑ:/,n.,"n. 研究班, 专题讨论会",B2,,,,
electronics,electronics,/.ilek'trɒniks/,n.,n. 电子学,B2,,,,
dense,dense,/dens/,,"a. 密集的, 浓厚的",C1,,,,
articulate,articulate,/ɑ:'tikjulit/,vt.,"a. 发音清晰的, 口才好的；vt. 明白地说, 以关节连接, 使成为系统的整体",C1,,,,
sunny,sunny,/'sʌni/,,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的",Beyond C1,,,,
swell,swell,/swel/,vt./vi./n.,"n. 增大, 隆起的部分, 巨浪, 肿胀；a. 优秀的, 一流的；vi. 增大, 膨胀, 肿胀, 增强, 骄傲；vt. 使膨胀, 使增大, 使上涨, 使骄傲",Beyond C1,,,,
shorts,shorts,/ʃɔ:ts/,n.,"n. 短裤, (美)男人的短衬裤",A1,,,,
soften,soften,/'sɒftn/,v.,"v. (使)变柔软, (使)变柔和",Beyond C1,,,,
accusation,accusation,/ækju:'zeiʃәn/,n.,"n. 控告, 指控, 指责",C1,,,,
bride,bride,/braid/,n.,n. 新娘,B1,,,,
terribly,terribly,/'terәbli/,adv.,"adv. 可怕地, 甚为, 非常",B2,,,,
cue,cue,/kju:/,vt./n.,"n. 提示, 线索；vt. 给...暗示(或提示)",B2,,,,
biography,biography,/bai'ɒgrәfi/,n.,n. 传记,C1,,,,
hazard,hazard,/'hæzәd/,vt./n.,"n. 冒险, 危险, 机会；vt. 冒...的危险, 赌运气, 使冒危险",C1,,,,
straighten,straighten,/'streitn/,vt./vi.,"vt. 弄直, 整顿, 清理, 使改正；vi. 直起来, 改正, 好转",Beyond C1,,,,
seldom,seldom,/'seldәm/,adv.,"a. 不常的, 稀少的；adv. 很少, 不常",Beyond C1,,,,
compelling,compel,/kәm'peliŋ/,,"a. 强制的, 强迫性的, 激发兴趣的",C1,,,,
tile,tile,/tail/,vt./n.,"n. 砖瓦, 瓷砖, 瓦片；vt. 铺以瓦, 铺以瓷砖",Beyond C1,,,,
honestly,honestly,/'ɒnistli/,adv.,"adv. 真诚地, 公正地",Beyond C1,,,,
troubled,trouble,/'trʌbld/,,"a. 烦恼的, 混乱的, 不安的",C1,,,,
economically,economically,/i:kә'nɔmikәli/,adv.,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上",Beyond C1,,,,
vague,vague,/veig/,,"a. 含糊的, 不清楚的, 茫然的",C1,,,,
zero,zero,/'ziәrәu/,vt./n.,"n. 零, 零点, 零度, 无, 乌有, 最低点；a. 零的, 没有的；vt. 调零, 对(炮火等)作协调校正",A2,,,,
foreigner,foreigner,/'fɒ:rinә/,n.,"n. 外国人, 外地人",C1,,,,
balanced,balance,/'bælәnst/,,"a. 公平的, 平衡的",B2,,,,
twentieth,twentieth,/'twentiiθ/,num.,"num. 第二十, 二十分之一",Beyond C1,,,,
delight,delight,/di'lait/,vt./vi./n.,"n. 高兴, 愉快；vt. 使高兴, 乐于；vi. 感到高兴(或愉快、快乐)",Beyond C1,,,,
convenience,convenience,/kә'vi:njәns/,n.,"n. 方便, 便利的事物, 方便的时候",B2,,,,
weave,weave,/wi:v/,vt./vi./n.,"n. 编法, 织法, 编织式样；vt. 编织, 组合, 编排, 使迂回前进；vi. 纺织, 迂回行进",C1,,,,
plea,plea,/pli:/,n.,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词",C1,,,,
academy,academy,/ә'kædәmi/,n.,"n. 学院, 院校, 学会",C1,,,,
sustainable,sustainable,/sә'steinәbl/,,"a. 足可支撑的, 养得起的, 可以忍受的",B2,,,,
timber,timber,/'timbә/,vt./n.,"n. 木材, 木料；vt. 用木材建造",C1,,,,
till,till,/til/,vt./n./prep./conj.,"prep. 直到, 在...以前, 迄；conj. 直到...为止；vt. 耕种；n. 放钱的抽屉, 备用现金, 冰碛",B1,,,,
accurately,accurately,/'ækjurәtli/,adv.,"adv. 正确地, 精确地",B2,,,,
bolt,bolt,/bәult/,vt./vi./n./adv.,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件；vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下；vi. 囫囵吞枣, 射箭, 脱缰, 退出党派；adv. 突然",Beyond C1,,,,
bulb,bulb,/bʌlb/,n.,"n. 球茎, 电灯泡",Beyond C1,,,,
flying,fly,/'flaiiŋ/,n.,"a. 飞的, 飘扬的, 飞速的；n. 飞行, 飞花",A2,,,,
skilled,skilled,/'skild/,,a. 熟练的,B2,,,,
spine,spine,/spain/,n.,"n. 背骨, 脊柱, 尖刺",C1,,,,
